ReferenceAllele,AlternateAllele,Chromosome,Start,Stop,GeneSymbol,ClinicalSignificance,PhenotypeList,Type,Assembly
na,na,12,114823326,114823326,TBX5,Pathogenic/Likely pathogenic,Holt-Oram syndrome|not provided|Aortic valve disease 2|Cardiovascular phenotype,single nucleotide variant,GRCh37
na,na,12,114385521,114385521,TBX5,Pathogenic/Likely pathogenic,Holt-Oram syndrome|not provided|Aortic valve disease 2|Cardiovascular phenotype,single nucleotide variant,GRCh38
na,na,12,114839635,114839635,TBX5,Pathogenic,Holt-Oram syndrome,single nucleotide variant,GRCh37
na,na,12,114401830,114401830,TBX5,Pathogenic,Holt-Oram syndrome,single nucleotide variant,GRCh38
na,na,12,114823327,114823327,TBX5,Pathogenic,"Holt-Oram syndrome|Heart, malformation of|Aortic valve disease 2|Cardiovascular phenotype",single nucleotide variant,GRCh37
na,na,12,114385522,114385522,TBX5,Pathogenic,"Holt-Oram syndrome|Heart, malformation of|Aortic valve disease 2|Cardiovascular phenotype",single nucleotide variant,GRCh38
na,na,12,114836472,114836472,TBX5,Pathogenic,Holt-Oram syndrome,Deletion,GRCh37
na,na,12,114398667,114398667,TBX5,Pathogenic,Holt-Oram syndrome,Deletion,GRCh38
na,na,12,114841559,114841559,TBX5,Pathogenic,Holt-Oram syndrome,single nucleotide variant,GRCh37
na,na,12,114403754,114403754,TBX5,Pathogenic,Holt-Oram syndrome,single nucleotide variant,GRCh38
na,na,12,114839712,114839712,TBX5,Pathogenic,Holt-Oram syndrome,single nucleotide variant,GRCh37
na,na,12,114401907,114401907,TBX5,Pathogenic,Holt-Oram syndrome,single nucleotide variant,GRCh38
na,na,12,114836480,114836480,TBX5,Pathogenic/Likely pathogenic,Holt-Oram syndrome|TBX5-related disorder,single nucleotide variant,GRCh37
na,na,12,114398675,114398675,TBX5,Pathogenic/Likely pathogenic,Holt-Oram syndrome|TBX5-related disorder,single nucleotide variant,GRCh38
na,na,20,62680560,62680560,SOX18,Pathogenic,Hypotrichosis-lymphedema-telangiectasia syndrome,single nucleotide variant,GRCh37
na,na,20,64049207,64049207,SOX18,Pathogenic,Hypotrichosis-lymphedema-telangiectasia syndrome,single nucleotide variant,GRCh38
na,na,20,62680587,62680587,SOX18,Pathogenic,Hypotrichosis-lymphedema-telangiectasia syndrome,single nucleotide variant,GRCh37
na,na,20,64049234,64049234,SOX18,Pathogenic,Hypotrichosis-lymphedema-telangiectasia syndrome,single nucleotide variant,GRCh38
na,na,20,62679954,62679954,SOX18,Likely pathogenic,Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome|not provided,single nucleotide variant,GRCh37
na,na,20,64048601,64048601,SOX18,Likely pathogenic,Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome|not provided,single nucleotide variant,GRCh38
na,na,12,56117812,56117812,RDH5,Pathogenic/Likely pathogenic,"Fundus albipunctatus, autosomal recessive|not provided|Pigmentary retinal dystrophy|Congenital stationary night blindness|See cases|RDH5-related disorder|Retinal dystrophy|Retinitis punctata albescens",single nucleotide variant,GRCh37
na,na,12,55724028,55724028,RDH5,Pathogenic/Likely pathogenic,"Fundus albipunctatus, autosomal recessive|not provided|Pigmentary retinal dystrophy|Congenital stationary night blindness|See cases|RDH5-related disorder|Retinal dystrophy|Retinitis punctata albescens",single nucleotide variant,GRCh38
na,na,12,56115186,56115186,RDH5,Uncertain significance,"Fundus albipunctatus, autosomal recessive|not provided",single nucleotide variant,GRCh37
na,na,12,55721402,55721402,RDH5,Uncertain significance,"Fundus albipunctatus, autosomal recessive|not provided",single nucleotide variant,GRCh38
na,na,12,56118211,56118211,RDH5,Pathogenic/Likely pathogenic,"Fundus albipunctatus, autosomal recessive|Congenital stationary night blindness|not provided|Pigmentary retinal dystrophy",single nucleotide variant,GRCh37
na,na,12,55724427,55724427,RDH5,Pathogenic/Likely pathogenic,"Fundus albipunctatus, autosomal recessive|Congenital stationary night blindness|not provided|Pigmentary retinal dystrophy",single nucleotide variant,GRCh38
na,na,12,56118252,56118252,RDH5,Pathogenic,"Pigmentary retinal dystrophy|Fundus albipunctatus, autosomal recessive|not provided",single nucleotide variant,GRCh37
na,na,12,55724468,55724468,RDH5,Pathogenic,"Pigmentary retinal dystrophy|Fundus albipunctatus, autosomal recessive|not provided",single nucleotide variant,GRCh38
na,na,12,56115692,56115692,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive",single nucleotide variant,GRCh37
na,na,12,55721908,55721908,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive",single nucleotide variant,GRCh38
na,na,12,56118213,56118213,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive",single nucleotide variant,GRCh37
na,na,12,55724429,55724429,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive",single nucleotide variant,GRCh38
na,na,12,56118300,56118300,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive|not provided|Pigmentary retinal dystrophy",Indel,GRCh37
na,na,12,55724516,55724516,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive|not provided|Pigmentary retinal dystrophy",Indel,GRCh38
na,na,12,56115631,56115631,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive|not provided|Pigmentary retinal dystrophy",single nucleotide variant,GRCh37
na,na,12,55721847,55721847,RDH5,Pathogenic,"Fundus albipunctatus, autosomal recessive|not provided|Pigmentary retinal dystrophy",single nucleotide variant,GRCh38
na,na,16,2335500,2335500,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency|not provided,single nucleotide variant,GRCh37
na,na,16,2285499,2285499,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency|not provided,single nucleotide variant,GRCh38
na,na,16,2376028,2376028,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh37
na,na,16,2326027,2326027,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh38
na,na,16,2328349,2328349,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh37
na,na,16,2278348,2278348,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh38
na,na,16,2328017,2328017,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh37
na,na,16,2278016,2278016,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh38
na,na,16,2349443,2349443,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh37
na,na,16,2299442,2299442,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh38
na,na,16,2327879,2327879,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh37
na,na,16,2277878,2277878,ABCA3,Pathogenic,Interstitial lung disease due to ABCA3 deficiency,single nucleotide variant,GRCh38
na,na,16,2367662,2367662,ABCA3,Uncertain significance,Interstitial lung disease due to ABCA3 deficiency|not specified,single nucleotide variant,GRCh37
na,na,16,2317661,2317661,ABCA3,Uncertain significance,Interstitial lung disease due to ABCA3 deficiency|not specified,single nucleotide variant,GRCh38
na,na,4,108911206,108911206,HADH,Likely risk allele,Deficiency of 3-hydroxyacyl-CoA dehydrogenase|Hyperinsulinemic hypoglycemia,single nucleotide variant,GRCh37
na,na,4,107990050,107990050,HADH,Likely risk allele,Deficiency of 3-hydroxyacyl-CoA dehydrogenase|Hyperinsulinemic hypoglycemia,single nucleotide variant,GRCh38
na,na,4,108930953,108930953,HADH,Uncertain significance/Uncertain risk allele,"Deficiency of 3-hydroxyacyl-CoA dehydrogenase|Hyperinsulinemic hypoglycemia, familial, 4|Hyperinsulinemic hypoglycemia",single nucleotide variant,GRCh37
na,na,4,108009797,108009797,HADH,Uncertain significance/Uncertain risk allele,"Deficiency of 3-hydroxyacyl-CoA dehydrogenase|Hyperinsulinemic hypoglycemia, familial, 4|Hyperinsulinemic hypoglycemia",single nucleotide variant,GRCh38
na,na,4,108954395,108954395,HADH,Pathogenic,"Hyperinsulinemic hypoglycemia, familial, 4",single nucleotide variant,GRCh37
na,na,4,108033239,108033239,HADH,Pathogenic,"Hyperinsulinemic hypoglycemia, familial, 4",single nucleotide variant,GRCh38
na,na,4,108944625,108944630,HADH,Pathogenic,"Hyperinsulinemic hypoglycemia, familial, 4",Deletion,GRCh37
na,na,4,108023469,108023474,HADH,Pathogenic,"Hyperinsulinemic hypoglycemia, familial, 4",Deletion,GRCh38
na,na,22,24167567,24167567,SMARCB1,Pathogenic,"Malignant rhabdoid tumor, somatic",Deletion,GRCh37
na,na,22,23825380,23825380,SMARCB1,Pathogenic,"Malignant rhabdoid tumor, somatic",Deletion,GRCh38
na,na,na,-1,-1,SMARCB1,Pathogenic,"Malignant rhabdoid tumor, somatic",Deletion,na
na,na,22,24145570,24145570,SMARCB1,Pathogenic,Rhabdoid tumor predisposition syndrome 1,Deletion,GRCh37
na,na,22,23803383,23803383,SMARCB1,Pathogenic,Rhabdoid tumor predisposition syndrome 1,Deletion,GRCh38
na,na,22,24167603,24167603,SMARCB1,Likely pathogenic,Rhabdoid tumor predisposition syndrome 1|Hereditary cancer-predisposing syndrome,single nucleotide variant,GRCh37
na,na,22,23825416,23825416,SMARCB1,Likely pathogenic,Rhabdoid tumor predisposition syndrome 1|Hereditary cancer-predisposing syndrome,single nucleotide variant,GRCh38
na,na,22,24129390,24129390,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis|Hereditary cancer-predisposing syndrome|not provided,single nucleotide variant,GRCh37
na,na,22,23787203,23787203,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis|Hereditary cancer-predisposing syndrome|not provided,single nucleotide variant,GRCh38
na,na,22,24145525,24145525,SMARCB1,Pathogenic,"Schwannomatosis 1, somatic",single nucleotide variant,GRCh37
na,na,22,23803338,23803338,SMARCB1,Pathogenic,"Schwannomatosis 1, somatic",single nucleotide variant,GRCh38
na,na,22,24134052,24134065,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis,Indel,GRCh37
na,na,22,23791865,23791878,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis,Indel,GRCh38
na,na,22,24135742,24135748,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis,Deletion,GRCh37
na,na,22,23793555,23793561,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis,Deletion,GRCh38
na,na,22,24158592,24158593,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis|Rhabdoid tumor predisposition syndrome 1,Duplication,GRCh37
na,na,22,23816405,23816406,SMARCB1,Pathogenic,SMARCB1-related schwannomatosis|Rhabdoid tumor predisposition syndrome 1,Duplication,GRCh38
na,na,22,24129448,24129448,SMARCB1,Conflicting classifications of pathogenicity,SMARCB1-related schwannomatosis|not provided|Hereditary cancer-predisposing syndrome,single nucleotide variant,GRCh37
na,na,22,23787261,23787261,SMARCB1,Conflicting classifications of pathogenicity,SMARCB1-related schwannomatosis|not provided|Hereditary cancer-predisposing syndrome,single nucleotide variant,GRCh38
na,na,19,18194272,18194272,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency|not provided|IL12RB1-related disorder,single nucleotide variant,GRCh37
na,na,19,18083462,18083462,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency|not provided|IL12RB1-related disorder,single nucleotide variant,GRCh38
na,na,19,18180419,18180419,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh37
na,na,19,18069609,18069609,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh38
na,na,na,-1,-1,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,Deletion,na
na,na,19,18186622,18186622,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh37
na,na,19,18075812,18075812,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh38
na,na,19,18174031,18186197,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,Deletion,GRCh37
na,na,19,18063221,18075387,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,Deletion,GRCh38
na,na,19,18182921,18182921,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh37
na,na,19,18072111,18072111,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh38
na,na,19,18186667,18186667,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh37
na,na,19,18075857,18075857,IL12RB1,Pathogenic,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,single nucleotide variant,GRCh38
na,na,6,50805690,50805690,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh37
na,na,6,50837977,50837977,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh38
na,na,6,50805764,50805764,TFAP2B,Likely pathogenic,Char syndrome|not provided,single nucleotide variant,GRCh37
na,na,6,50838051,50838051,TFAP2B,Likely pathogenic,Char syndrome|not provided,single nucleotide variant,GRCh38
na,na,6,50803878,50803878,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh37
na,na,6,50836165,50836165,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh38
na,na,6,50803878,50803878,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh37
na,na,6,50836165,50836165,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh38
na,na,6,50805720,50805720,TFAP2B,Pathogenic/Likely pathogenic,Char syndrome|not provided,single nucleotide variant,GRCh37
na,na,6,50838007,50838007,TFAP2B,Pathogenic/Likely pathogenic,Char syndrome|not provided,single nucleotide variant,GRCh38
na,na,6,50791256,50791256,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh37
na,na,6,50823543,50823543,TFAP2B,Pathogenic,Char syndrome,single nucleotide variant,GRCh38
na,na,2,215617178,215617178,BARD1,Benign/Likely benign,"Breast cancer, susceptibility to|Hereditary cancer-predisposing syndrome|not specified|Malignant tumor of breast|Hereditary breast ovarian cancer syndrome|Familial cancer of breast|not provided",single nucleotide variant,GRCh37
na,na,2,214752454,214752454,BARD1,Benign/Likely benign,"Breast cancer, susceptibility to|Hereditary cancer-predisposing syndrome|not specified|Malignant tumor of breast|Hereditary breast ovarian cancer syndrome|Familial cancer of breast|not provided",single nucleotide variant,GRCh38
na,na,11,47469631,47469631,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 4C|Congenital myasthenic syndrome|Congenital myasthenic syndrome 11|not provided|Fetal akinesia deformation sequence 1|Myopathy|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|Inborn genetic diseases|RAPSN-related disorder|Fetal akinesia deformation sequence 2;Congenital myasthenic syndrome 11,single nucleotide variant,GRCh37
na,na,11,47448079,47448079,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 4C|Congenital myasthenic syndrome|Congenital myasthenic syndrome 11|not provided|Fetal akinesia deformation sequence 1|Myopathy|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|Inborn genetic diseases|RAPSN-related disorder|Fetal akinesia deformation sequence 2;Congenital myasthenic syndrome 11,single nucleotide variant,GRCh38
na,na,11,47470476,47470476,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|not provided,single nucleotide variant,GRCh37
na,na,11,47448924,47448924,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|not provided,single nucleotide variant,GRCh38
na,na,11,47464344,47464345,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|RAPSN-related disorder|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2,Duplication,GRCh37
na,na,11,47442792,47442793,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|RAPSN-related disorder|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2,Duplication,GRCh38
na,na,11,47463268,47463268,RAPSN,Pathogenic,Congenital myasthenic syndrome 11,single nucleotide variant,GRCh37
na,na,11,47441716,47441716,RAPSN,Pathogenic,Congenital myasthenic syndrome 11,single nucleotide variant,GRCh38
na,na,11,47470726,47470726,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2;Congenital myasthenic syndrome 11|Abnormality of the musculature|Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh37
na,na,11,47449174,47449174,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2;Congenital myasthenic syndrome 11|Abnormality of the musculature|Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh38
na,na,11,47463227,47463227,RAPSN,Conflicting classifications of pathogenicity,Congenital myasthenic syndrome 11|not provided|Global developmental delay|Fetal akinesia deformation sequence 2|RAPSN-related disorder|Fetal akinesia deformation sequence 1|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1,single nucleotide variant,GRCh37
na,na,11,47441675,47441675,RAPSN,Conflicting classifications of pathogenicity,Congenital myasthenic syndrome 11|not provided|Global developmental delay|Fetal akinesia deformation sequence 2|RAPSN-related disorder|Fetal akinesia deformation sequence 1|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1,single nucleotide variant,GRCh38
na,na,11,47469717,47469717,RAPSN,Conflicting classifications of pathogenicity,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Congenital myasthenic syndrome,single nucleotide variant,GRCh37
na,na,11,47448165,47448165,RAPSN,Conflicting classifications of pathogenicity,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Congenital myasthenic syndrome,single nucleotide variant,GRCh38
na,na,11,47469405,47469405,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Myopathy|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 2|Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh37
na,na,11,47447853,47447853,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Myopathy|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 2|Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh38
na,na,11,47470384,47470384,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|not provided|Congenital myasthenic syndrome|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh37
na,na,11,47448832,47448832,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|not provided|Congenital myasthenic syndrome|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh38
na,na,11,47469411,47469411,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh37
na,na,11,47447859,47447859,RAPSN,Pathogenic/Likely pathogenic,Congenital myasthenic syndrome 11|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 1|Fetal akinesia deformation sequence 2|Congenital myasthenic syndrome 11;Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh38
na,na,11,47469479,47469479,RAPSN,Pathogenic,Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh37
na,na,11,47447927,47447927,RAPSN,Pathogenic,Fetal akinesia deformation sequence 2,single nucleotide variant,GRCh38
na,na,11,47464332,47464332,RAPSN,Uncertain significance,Fetal akinesia deformation sequence 2|not specified,single nucleotide variant,GRCh37
na,na,11,47442780,47442780,RAPSN,Uncertain significance,Fetal akinesia deformation sequence 2|not specified,single nucleotide variant,GRCh38
na,na,3,13860617,13860617,WNT7A,Likely pathogenic,Schinzel phocomelia syndrome,single nucleotide variant,GRCh37
na,na,3,13819120,13819120,WNT7A,Likely pathogenic,Schinzel phocomelia syndrome,single nucleotide variant,GRCh38
na,na,3,13896274,13896274,WNT7A,Pathogenic,Fuhrmann syndrome,single nucleotide variant,GRCh37
na,na,3,13854777,13854777,WNT7A,Pathogenic,Fuhrmann syndrome,single nucleotide variant,GRCh38
na,na,18,57026387,57026388,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",Duplication,GRCh37
na,na,18,59359155,59359156,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",Duplication,GRCh38
na,na,18,57005990,57005990,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",single nucleotide variant,GRCh37
na,na,18,59338758,59338758,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",single nucleotide variant,GRCh38
na,na,18,57014771,57014771,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",Deletion,GRCh37
na,na,18,59347539,59347539,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",Deletion,GRCh38
na,na,18,57000341,57000341,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1|LMAN1-related disorder",Deletion,GRCh37
na,na,18,59333109,59333109,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1|LMAN1-related disorder",Deletion,GRCh38
na,na,18,57026475,57026475,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",single nucleotide variant,GRCh37
na,na,18,59359243,59359243,LMAN1,Pathogenic,"Factor V and factor VIII, combined deficiency of, type 1",single nucleotide variant,GRCh38
na,na,13,111372083,111372083,ING1,Pathogenic,Squamous cell carcinoma of the head and neck,single nucleotide variant,GRCh37
na,na,13,110719736,110719736,ING1,Pathogenic,Squamous cell carcinoma of the head and neck,single nucleotide variant,GRCh38
na,na,13,111372086,111372086,ING1,Pathogenic,Squamous cell carcinoma of the head and neck,single nucleotide variant,GRCh37
na,na,13,110719739,110719739,ING1,Pathogenic,Squamous cell carcinoma of the head and neck,single nucleotide variant,GRCh38
na,na,13,111372014,111372014,ING1,Pathogenic,Squamous cell carcinoma of the head and neck,single nucleotide variant,GRCh37
na,na,13,110719667,110719667,ING1,Pathogenic,Squamous cell carcinoma of the head and neck,single nucleotide variant,GRCh38
na,na,7,142481892,142481892,PRSS2,protective,"Pancreatitis, chronic, protection against",single nucleotide variant,GRCh37
na,na,7,142774035,142774035,PRSS2,protective,"Pancreatitis, chronic, protection against",single nucleotide variant,GRCh38
na,na,6,16327918,16327953,ATXN1,Pathogenic,Spinocerebellar ataxia type 1,Microsatellite,GRCh37
na,na,6,16327687,16327722,ATXN1,Pathogenic,Spinocerebellar ataxia type 1,Microsatellite,GRCh38
na,na,2,56098226,56098226,EFEMP1,Pathogenic/Likely pathogenic,not provided|Doyne honeycomb retinal dystrophy|Retinal dystrophy,single nucleotide variant,GRCh37
na,na,2,55871091,55871091,EFEMP1,Pathogenic/Likely pathogenic,not provided|Doyne honeycomb retinal dystrophy|Retinal dystrophy,single nucleotide variant,GRCh38
na,na,17,2573503,2573503,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation|not provided,single nucleotide variant,GRCh37
na,na,17,2670209,2670209,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation|not provided,single nucleotide variant,GRCh38
na,na,17,2577499,2577499,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation|not provided,single nucleotide variant,GRCh37
na,na,17,2674205,2674205,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation|not provided,single nucleotide variant,GRCh38
na,na,17,2579886,2579907,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,Deletion,GRCh37
na,na,17,2676592,2676613,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,Deletion,GRCh38
na,na,17,2573562,2573562,PAFAH1B1,Pathogenic,Subcortical band heterotopia,single nucleotide variant,GRCh37
na,na,17,2670268,2670268,PAFAH1B1,Pathogenic,Subcortical band heterotopia,single nucleotide variant,GRCh38
na,na,17,2579847,2579847,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,single nucleotide variant,GRCh37
na,na,17,2676553,2676553,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,single nucleotide variant,GRCh38
na,na,17,2568725,2568725,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,single nucleotide variant,GRCh37
na,na,17,2665431,2665431,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,single nucleotide variant,GRCh38
na,na,17,2573541,2573541,PAFAH1B1,Pathogenic/Likely pathogenic,Lissencephaly due to LIS1 mutation|not provided,single nucleotide variant,GRCh37
na,na,17,2670247,2670247,PAFAH1B1,Pathogenic/Likely pathogenic,Lissencephaly due to LIS1 mutation|not provided,single nucleotide variant,GRCh38
na,na,17,2577404,2577404,PAFAH1B1,Likely pathogenic,Subcortical band heterotopia|not provided,single nucleotide variant,GRCh37
na,na,17,2674110,2674110,PAFAH1B1,Likely pathogenic,Subcortical band heterotopia|not provided,single nucleotide variant,GRCh38
na,na,17,2541604,2541604,PAFAH1B1,Pathogenic/Likely pathogenic,Subcortical band heterotopia|Lissencephaly due to LIS1 mutation|Lissencephaly|Intellectual disability|not provided,single nucleotide variant,GRCh37
na,na,17,2638310,2638310,PAFAH1B1,Pathogenic/Likely pathogenic,Subcortical band heterotopia|Lissencephaly due to LIS1 mutation|Lissencephaly|Intellectual disability|not provided,single nucleotide variant,GRCh38
na,na,17,2577512,2577512,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,single nucleotide variant,GRCh37
na,na,17,2674218,2674218,PAFAH1B1,Pathogenic,Lissencephaly due to LIS1 mutation,single nucleotide variant,GRCh38
na,na,4,111542411,111542411,PITX2,Pathogenic,Axenfeld-Rieger syndrome type 1,single nucleotide variant,GRCh37
na,na,4,110621255,110621255,PITX2,Pathogenic,Axenfeld-Rieger syndrome type 1,single nucleotide variant,GRCh38
na,na,4,111542315,111542315,PITX2,Pathogenic,Axenfeld-Rieger syndrome type 1,single nucleotide variant,GRCh37
na,na,4,110621159,110621159,PITX2,Pathogenic,Axenfeld-Rieger syndrome type 1,single nucleotide variant,GRCh38
na,na,4,111542370,111542370,PITX2,Pathogenic,Axenfeld-Rieger syndrome type 1,single nucleotide variant,GRCh37
